书名,原名,作者,卷数,状态,译版,简介,来源,格式
我的青春恋爱物语果然有问题,やはり俺の青春ラブコメはまちがっている。,渡航,多卷,完结,台版,孤僻高中生比企谷八幡被卷入「侍奉部」，与雪之下雪乃、由比滨结衣共同解决校园委托的青春恋爱喜剧。,轻小说文库/哔哩轻小说,epub/txt
青春猪头少年不会梦到兔女郎学姐,青春ブタ野郎はバニーガール先輩の夢を見ない,鸭志田一,多卷,连载中,台版,在思春期综合征作祟的世界里，主角梓川咲太与「兔女郎学姐」樱岛麻衣等人相识相遇的故事。,轻小说文库/哔哩轻小说,epub/txt
关于我转生变成史莱姆这档事,転生したらスライムだった件,伏濑,多卷,连载中,台版+网译,被刺杀后转生为史莱姆的三上悟，凭借技能在异世界建立起魔物之国的大冒险。,轻小说文库/哔哩轻小说,epub/txt
药师少女的独语,薬屋のひとりごと,日向夏,多卷,连载中,台版,在深宫中以调理药膳为生的少女猫猫，凭借药理与智慧卷入后宫悬疑事件。,轻小说文库/哔哩轻小说,epub/txt
狼与香辛料,狼と香辛料,支仓冻砂,多卷,完结,台版,旅行商人罗伦斯与丰收之神赫萝的经商与冒险之旅。,轻小说文库/哔哩轻小说,epub/txt
在地下城寻求邂逅是否搞错了什么,ダンジョンに出会いを求めるのは間違っているだろうか,大森藤野,多卷,连载中,台版,冒险者贝尔在地下城中追求邂逅的成长冒险长歌。,轻小说文库/哔哩轻小说,epub/txt
86-不存在的战区-,86-エイティシックス-,安里アサト,多卷,连载中,台版,在圣玛格诺利亚共和国里，少男少女驾驶「无人机」对抗军团的战争与命运物语。,轻小说文库/哔哩轻小说,epub/txt
不吉波普系列,ブギーポップ,上远野浩平,多卷,连载中,台版,围绕都市传说「不吉波普」展开的轻小说系列名作。,轻小说文库/哔哩轻小说,epub/txt
游戏人生 No Game No Life,ノーゲーム・ノーライフ,榎宫祐,多卷,休载,网译,空与白兄妹在游戏决定一切的世界中向神挑战的奇幻大作。,轻小说文库/哔哩轻小说,epub/txt
魔法禁书目录,とある魔術の禁書目録,镰池和马,多卷,连载中,台版,学园都市的超能力者上条当麻与被封印的「魔法禁书目录」茵蒂克丝的相遇。,轻小说文库/哔哩轻小说,epub/txt
